observation_ratio,metric,pairing,seed_count,bootstrap_repetitions,mean_difference,median_difference,95% CI lower,95% CI upper,ASGC_improved_seed_count,bootstrap_rng_seed
0.4,E_c,ASGC - Raw-GAT,10,5000,-3.403743123732555,-3.3999710454978898,-4.96596906994413,-1.8014424142479768,9,2656429093
0.4,E_w,ASGC - Raw-GAT,10,5000,-0.036499556122716895,-0.024436420816174205,-0.061036188534638394,-0.01608322825971403,10,296997690
0.4,E_x,ASGC - Raw-GAT,10,5000,-0.482094960435972,-0.24252462579053802,-1.0563739534062984,-0.06531429481118137,7,281194564
0.7,E_c,ASGC - Raw-GAT,10,5000,-0.8520472463403987,-0.47824638848467815,-1.4226109630216632,-0.3550523808399944,9,2015496446
0.7,E_w,ASGC - Raw-GAT,10,5000,-0.016685546589767904,-0.012229382063055322,-0.02595151882646816,-0.0077760370227493965,10,3082518129
0.7,E_x,ASGC - Raw-GAT,10,5000,0.0782893922782002,0.1241642240317552,-0.1400301129223628,0.27762509658783263,3,3228699357
