observation_ratio,metric,unit,test_graph_count,masks_per_graph,mean_difference_ASGC_minus_Raw,median_graph_difference,ci95_lower,ci95_upper,graphs_improved,bootstrap_repetitions
0.4,E_c,test_graph,6,2,-5.216481207949505,-6.479462613553463,-8.06795087143176,-2.053917685656376,5,5000
0.4,E_w,test_graph,6,2,-0.15005075920871258,-0.16853292192831226,-0.17929642136280466,-0.11526635280799045,6,5000
0.4,E_x2_METR,test_graph,6,2,-1.9733874484269416,-1.3376543445772549,-3.498647766634514,-0.8821911809728782,6,5000
0.7,E_c,test_graph,6,2,-0.866134905572189,-1.0308893594880915,-2.530027863829821,0.9014692660665764,3,5000
0.7,E_w,test_graph,6,2,-0.04621824335012368,-0.044070096147352786,-0.06536036795770676,-0.02796908028176571,6,5000
0.7,E_x2_METR,test_graph,6,2,-0.8362841926728776,-0.773986035442124,-0.9816293994532492,-0.7504691195599192,6,5000
